date,"baseline: flat + count, NO breaker",+ vol sizing,+ correlation cap,+ fixed 10% breaker (today's rule),+ adaptive breaker (tighten+loosen),+ adaptive breaker (loosen-only) V2,TODAY'S BOT (flat+count+fixed),bh_btc
2024-07-09 02:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1974.879919489928
2024-07-09 03:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1971.6538604931243
2024-07-09 04:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1975.7110935526068
2024-07-09 05:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1975.900435693856
2024-07-09 06:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1982.263573227642
2024-07-09 07:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1969.8770103807087
2024-07-09 08:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1987.0764504246056
2024-07-09 09:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1986.126980634334
2024-07-09 10:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1980.5553553303605
2024-07-09 11:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1980.6088125833546
2024-07-09 12:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1977.5048430546785
2024-07-09 13:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1977.065458923619
2024-07-09 14:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1967.916681180598
2024-07-09 15:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1982.298751548967
2024-07-09 16:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1989.6448127668336
2024-07-09 17:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1983.8852248636235
2024-07-09 18:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1997.1457275756309
2024-07-09 19:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1995.5768434216368
2024-07-09 20:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1997.8958535450608
2024-07-09 21:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1993.4385533018822
2024-07-09 22:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1998.1286512597114
2024-07-09 23:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,2002.0603459960341
2024-07-10 00:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1982.6215643799494
2024-07-10 01:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1993.399926125525
2024-07-10 02:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1996.2852382451813
2024-07-10 03:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,2006.5442024229587
2024-07-10 04:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,2046.8071707214278
2024-07-10 05:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,2033.9625999262637
2024-07-10 06:00:00+00:00,1220.974391563232,1203.2513975097268,1233.304917558941,1088.9652571960253,1048.1436634047147,1101.835776346001,1134.3375392906696,2043.0489533932077
2024-07-10 07:00:00+00:00,1219.4401732466954,1201.3782432854914,1231.3849777019195,1088.8763700344678,1048.058108319712,1100.1205002672468,1134.2364924442945,2034.0653758062128
2024-07-10 08:00:00+00:00,1219.8767564777959,1201.5374281256488,1231.548138489909,1088.8763700344678,1048.058108319712,1100.2662682690961,1134.2364924442945,2026.4096074064853
2024-07-10 09:00:00+00:00,1219.2968512709315,1200.6560074722252,1230.6447026588307,1088.8763700344678,1048.058108319712,1099.4591378456764,1134.2364924442945,2017.2353081362285
2024-07-10 10:00:00+00:00,1219.1583529093264,1200.7196969672998,1230.7099829216543,1088.8763700344678,1048.058108319712,1099.5174592940418,1134.2364924442945,2022.9607523746229
2024-07-10 11:00:00+00:00,1218.698290789566,1200.0766060227743,1230.0508295427658,1088.8763700344678,1048.058108319712,1098.9285710437653,1134.2364924442945,2017.3042852368656
2024-07-10 12:00:00+00:00,1218.671300359845,1199.642360694341,1229.605738101283,1088.8763700344678,1048.058108319712,1098.5309259302262,1134.2364924442945,2005.5243759900368
2024-07-10 13:00:00+00:00,1217.3840938104777,1197.9248171573636,1227.845295608002,1088.8763700344678,1048.058108319712,1096.9581449466427,1134.2364924442945,1992.0586664036339
2024-07-10 14:00:00+00:00,1217.3048041191673,1197.7916408379865,1227.7087929536688,1088.8763700344678,1048.058108319712,1096.8361933465403,1134.2364924442945,1990.4387391951682
2024-07-10 15:00:00+00:00,1217.940171665261,1198.3402660280601,1228.2711211140306,1088.8763700344678,1048.058108319712,1097.3385778552793,1134.2364924442945,1989.978661933918
2024-07-10 16:00:00+00:00,1218.1233697809375,1198.5183314639407,1228.4536340769687,1088.8763700344678,1048.058108319712,1097.5016351084769,1134.2364924442945,1989.8765758249747
2024-07-10 17:00:00+00:00,1218.1233697809375,1198.5183314639407,1228.4536340769687,1088.8763700344678,1048.058108319712,1097.5016351084769,1134.2364924442945,1987.4996249370151
2024-07-10 18:00:00+00:00,1217.8878293464963,1198.289390189237,1228.2189745531912,1088.8763700344678,1048.058108319712,1097.2919900686516,1134.2364924442945,1987.580673030264
2024-07-10 19:00:00+00:00,1218.1495409403199,1198.5437693833524,1228.4797073573884,1088.8763700344678,1048.058108319712,1097.5249290017907,1134.2364924442945,1979.3679145428905
2024-07-10 20:00:00+00:00,1217.8093158683491,1198.2130764310025,1228.140754711932,1088.8763700344678,1048.058108319712,1097.2221083887098,1134.2364924442945,1979.9611176083708
2024-07-10 21:00:00+00:00,1217.4167484776137,1197.8315076398296,1227.7496555056362,1088.8763700344678,1048.058108319712,1096.872699989001,1134.2364924442945,1980.8295393053938
2024-07-10 22:00:00+00:00,1218.0448563027905,1198.4420177057061,1228.3754142357095,1088.8763700344678,1048.058108319712,1097.431753428535,1134.2364924442945,1990.3594155294354
2024-07-10 23:00:00+00:00,1218.8299910842613,1199.2051552880519,1229.1576126483012,1088.8763700344678,1048.058108319712,1098.1305702279526,1134.2364924442945,1990.8808824102528
2024-07-11 00:00:00+00:00,1219.5627835469675,1199.9174170315744,1229.8876645000535,1088.8763700344678,1048.058108319712,1098.7827992407424,1134.2364924442945,1987.5368725713593
2024-07-11 01:00:00+00:00,1220.1647202127617,1200.5024891780392,1230.487349949707,1088.8763700344678,1048.058108319712,1099.3185587869627,1134.2364924442945,2010.0047835619291
2024-07-11 02:00:00+00:00,1219.7721528220263,1200.1209203868666,1230.0962507434112,1088.8763700344678,1048.058108319712,1098.9691503872539,1134.2364924442945,1995.8520620531792
2024-07-11 03:00:00+00:00,1218.8299910842613,1199.2051552880519,1229.1576126483012,1088.8763700344678,1048.058108319712,1098.1305702279526,1134.2364924442945,1985.4368647424585
2024-07-11 04:00:00+00:00,1219.3534142719086,1199.7139136762821,1229.6790782566957,1088.8763700344678,1048.058108319712,1098.5964480942312,1134.2364924442945,1992.7480925245031
2024-07-11 05:00:00+00:00,1219.693639343879,1200.044606628632,1230.018030902152,1088.8763700344678,1048.058108319712,1098.899268707312,1134.2364924442945,2000.129332063695
2024-07-11 06:00:00+00:00,1219.9815220970852,1200.3244237421586,1230.304836986769,1088.8763700344678,1048.058108319712,1099.1555015337653,1134.2364924442945,2000.1979642788287
2024-07-11 07:00:00+00:00,1219.9553509377029,1200.2989858227472,1230.2787637063493,1088.8763700344678,1048.058108319712,1099.1322076404513,1134.2364924442945,2006.9404758661196
2024-07-11 08:00:00+00:00,1220.0076932564675,1200.3498616615702,1230.3309102671888,1088.8763700344678,1048.058108319712,1099.1787954270792,1134.2364924442945,2005.8227019502929
2024-07-11 09:00:00+00:00,1220.0338644158498,1200.3752995809816,1230.3569835476085,1088.8763700344678,1048.058108319712,1099.202089320393,1134.2364924442945,2010.3420815840454
2024-07-11 10:00:00+00:00,1220.112377893997,1200.4516133392162,1230.4352033888676,1088.8763700344678,1048.058108319712,1099.2719710003348,1134.2364924442945,2016.2796304068995
2024-07-11 11:00:00+00:00,1220.766656878556,1201.0875613245043,1231.0870353993607,1088.8763700344678,1048.058108319712,1099.8543183331828,1134.2364924442945,2027.1676657424882
2024-07-11 12:00:00+00:00,1223.1293251924994,1203.4806496650322,1233.539895728162,1088.8763700344678,1048.058108319712,1102.0457060639658,1134.2364924442945,2028.4906465327106
2024-07-11 13:00:00+00:00,1223.5234540622494,1203.8555098214279,1233.9241187386122,1088.8763700344678,1048.058108319712,1102.3889712638218,1134.2364924442945,2019.8619561284947
2024-07-11 14:00:00+00:00,1222.8077204077206,1203.0055557064725,1233.6088657453442,1088.8763700344678,1048.058108319712,1101.6106552327342,1134.2364924442945,1993.0936677986958
2024-07-11 15:00:00+00:00,1218.1568229780587,1197.8305277784698,1230.6189542546103,1088.8763700344678,1048.058108319712,1096.8718027149112,1134.2364924442945,1979.7121102750702
2024-07-11 16:00:00+00:00,1220.4129944598435,1200.4279543240177,1231.868587464221,1088.8763700344678,1048.058108319712,1099.2503060769175,1134.2364924442945,1987.9490107476668
2024-07-11 17:00:00+00:00,1221.2316818312088,1201.3574360163957,1232.4004897108077,1088.8763700344678,1048.058108319712,1100.1014467315138,1134.2364924442945,1993.345779101525
2024-07-11 18:00:00+00:00,1222.7857567828942,1203.108670947224,1233.2336478701234,1088.8763700344678,1048.058108319712,1101.7050794416582,1134.2364924442945,1994.8615508880282
2024-07-11 19:00:00+00:00,1220.727903433291,1200.8899803973736,1231.7109609675872,1088.8763700344678,1048.058108319712,1099.6733904450566,1134.2364924442945,1978.8843850674234
2024-07-11 20:00:00+00:00,1220.3407757501423,1200.4720462344744,1231.2525313057972,1088.8763700344678,1048.058108319712,1099.290681716197,1134.2364924442945,1984.9540250379978
2024-07-11 21:00:00+00:00,1219.169031147592,1199.2883396001882,1230.0993728967517,1088.8763700344678,1048.058108319712,1098.2067433795753,1134.2364924442945,1981.7127910790534
2024-07-11 22:00:00+00:00,1219.427390267719,1199.570936674558,1230.2387444340795,1088.8763700344678,1048.058108319712,1098.4655218588487,1134.2364924442945,1977.52450152836
2024-07-11 23:00:00+00:00,1219.6893891651744,1199.8982165442258,1230.1534037081271,1088.8763700344678,1048.058108319712,1098.765217059722,1134.2364924442945,1977.5696815292774
2024-07-12 00:00:00+00:00,1220.8046926402953,1201.0159657657907,1231.2089005024918,1088.8763700344678,1048.058108319712,1099.7887571809736,1134.2364924442945,1971.9863301181956
2024-07-12 01:00:00+00:00,1221.9910992707846,1202.3692092273998,1231.934694475477,1088.8763700344678,1048.058108319712,1101.0279429930101,1134.2364924442945,1964.123285531053
2024-07-12 02:00:00+00:00,1223.4269142190678,1203.8696561751885,1233.352390819914,1088.8763700344678,1048.058108319712,1102.4019252971275,1134.2364924442945,1977.3279167915439
2024-07-12 03:00:00+00:00,1221.9813821767932,1202.43106393594,1231.907923758637,1088.8763700344678,1048.058108319712,1101.0845842991794,1134.2364924442945,1962.8816977195827
2024-07-12 04:00:00+00:00,1221.9798805712821,1202.404003949182,1232.030471839622,1088.8763700344678,1048.058108319712,1101.0598050538952,1134.2364924442945,1966.4681620672159
2024-07-12 05:00:00+00:00,1223.1226083817073,1203.7688644846053,1232.4976619477934,1088.8763700344678,1048.058108319712,1102.3096287987623,1134.2364924442945,1966.744070469765
2024-07-12 06:00:00+00:00,1224.0111945849071,1204.8594072303804,1232.803909805832,1088.8763700344678,1048.058108319712,1103.3082555324743,1134.2364924442945,1973.0899637283917
2024-07-12 07:00:00+00:00,1225.8156327055613,1207.087627195618,1233.4346604812151,1088.8763700344678,1048.058108319712,1105.3486707610364,1134.2364924442945,1969.5355737325544
2024-07-12 08:00:00+00:00,1227.1925679443116,1208.7340719837164,1233.9800704306458,1088.8763700344678,1048.058108319712,1106.8563455288029,1134.2364924442945,1976.9878596854023
2024-07-12 09:00:00+00:00,1225.6182893812454,1206.7981249972672,1233.4685520827486,1088.8763700344678,1048.058108319712,1105.08356915373,1134.2364924442945,1964.1225957600466
2024-07-12 10:00:00+00:00,1227.9764085937086,1209.8173666272749,1233.7679237449413,1088.8763700344678,1048.058108319712,1107.8483350640463,1134.2364924442945,1971.8083691985514
2024-07-12 11:00:00+00:00,1226.9830668583609,1208.8398496547243,1232.6157074611638,1088.8763700344678,1048.058108319712,1106.9532077659849,1134.2364924442945,1972.8671676933334
2024-07-12 12:00:00+00:00,1227.936268717888,1209.761390942469,1233.4099820736362,1088.8763700344678,1048.058108319712,1107.797077270162,1134.2364924442945,1979.0323409482903
2024-07-12 13:00:00+00:00,1229.6238896064874,1211.0510419479535,1236.5352519117787,1088.8763700344678,1048.058108319712,1108.9780304938893,1134.2364924442945,1995.1695336423736
2024-07-12 14:00:00+00:00,1228.159537896876,1209.400864975125,1235.6553918845061,1088.8763700344678,1048.058108319712,1107.4669381072708,1134.2364924442945,1994.1283243082546
2024-07-12 15:00:00+00:00,1228.0519188574035,1209.15168578088,1235.9410111550076,1088.8763700344678,1048.058108319712,1107.2387608938402,1134.2364924442945,2007.7164682482885
2024-07-12 16:00:00+00:00,1230.244656960734,1211.666689998663,1237.1963337463485,1088.8763700344678,1048.058108319712,1109.5417888650104,1134.2364924442945,2004.3369352025668
2024-07-12 17:00:00+00:00,1230.8237140245694,1212.2926099208912,1237.4772057603877,1088.8763700344678,1048.058108319712,1110.1149533465696,1134.2364924442945,2005.916855692663
2024-07-12 18:00:00+00:00,1232.530539588914,1214.1612267511086,1238.6711319668125,1088.8763700344678,1048.058108319712,1111.826074463966,1134.2364924442945,2010.5755690697022
2024-07-12 19:00:00+00:00,1231.8390572160167,1213.4952606898257,1237.8683049666838,1088.8763700344678,1048.058108319712,1111.2162391181087,1134.2364924442945,1985.7131180305105
2024-07-12 20:00:00+00:00,1231.1015792734975,1212.863859804529,1236.8604521655436,1088.8763700344678,1048.058108319712,1110.638055634527,1134.2364924442945,1984.5405073196775
2024-07-12 21:00:00+00:00,1230.9388331987911,1212.6758930165802,1236.8481312768154,1088.8763700344678,1048.058108319712,1110.4659315612407,1134.2364924442945,1986.438067358208
2024-07-12 22:00:00+00:00,1232.7332338550461,1214.7482188716986,1237.7699459155824,1088.8763700344678,1048.058108319712,1112.3635921599669,1134.2364924442945,1993.1626448993331
2024-07-12 23:00:00+00:00,1233.5144394700171,1215.5152428909814,1238.5260710477546,1088.8763700344678,1048.058108319712,1113.0659678293503,1134.2364924442945,1996.511138249768
2024-07-13 00:00:00+00:00,1233.998961214923,1216.1265719702658,1238.912214938863,1088.8763700344678,1048.058108319712,1113.625771252035,1134.2364924442945,1994.6653110367154
2024-07-13 01:00:00+00:00,1234.6928491065787,1217.1236092665242,1238.6116564625545,1088.8763700344678,1048.058108319712,1114.5387736101811,1134.2364924442945,1996.1972924418687
2024-07-13 02:00:00+00:00,1235.7661240098505,1218.6002862642736,1238.3518657836253,1088.8763700344678,1048.058108319712,1115.8909894061444,1134.2364924442945,1998.4883668395348
2024-07-13 03:00:00+00:00,1236.4286872953994,1219.7418866422938,1237.4480614153165,1088.8763700344678,1048.058108319712,1116.9363703975114,1134.2364924442945,1993.9210481208395
2024-07-13 04:00:00+00:00,1237.6855095770225,1221.314291222153,1237.7372411281647,1088.8763700344678,1048.058108319712,1118.3762454099694,1134.2364924442945,1992.6056548116874
2024-07-13 05:00:00+00:00,1242.3289966839054,1226.6484996319655,1240.31922995626,1088.8763700344678,1048.058108319712,1123.2608619386358,1134.2364924442945,2002.9577380753246
2024-07-13 06:00:00+00:00,1244.0450025662506,1228.6377094396728,1241.0957389871214,1088.8763700344678,1048.058108319712,1125.0824118967962,1134.2364924442945,2001.6654520948864
2024-07-13 07:00:00+00:00,1246.4140053649658,1231.3412805106514,1242.4541678860257,1088.8763700344678,1048.058108319712,1127.558113430211,1134.2364924442945,2006.2100083703708
2024-07-13 08:00:00+00:00,1244.4531579404027,1229.1308086477152,1241.3306431997466,1088.8763700344678,1048.058108319712,1125.5339504113856,1134.2364924442945,1998.60907676565
2024-07-13 09:00:00+00:00,1245.6192322769284,1230.4264162183217,1242.1175888688006,1088.8763700344678,1048.058108319712,1126.720358153237,1134.2364924442945,2023.7198453671356
2024-07-13 10:00:00+00:00,1245.2177009772056,1230.2119325760825,1241.056158003858,1088.8763700344678,1048.058108319712,1126.5239521894048,1134.2364924442945,2015.396033747736
